year,hashtag,name
2016,mdcgallery,mdc gallery
2016,housebm,house b m
2016,housedm,house d m
2015,housedl,house d l
2012,basementgo,basement g o
2012,acircleinasquare,a circle in a square
2011,spazio33,spazio33
2011,zumbini,zumbini offices
2010,dancolen,dan colen show
2010,piombo,piombo stores
2010,kosho,kosho
2009,housecv,house c v
2009,unabox,unabox
2008,yanpeiming,atelier yan pei ming
2008,bastardstore,bastard store
2008,gardenshe,gardens h e
2007,patiovm,patio v m
